Detector,Time,qPKW,vPKW
3980,1050,250,40.0
3980,1065,272,40.0
3980,1080,267,40.0
3980,1095,202,40.0
3980,1110,244,40.0
3980,1125,281,40.0
3980,1140,183,40.0
3980,1155,211,40.0
3980,1170,167,40.0
3980,1185,166,40.0
3980,1200,137,40.0
3980,1215,246,40.0
3980,1230,242,40.0
3980,1245,296,40.0
3980,1260,248,40.0
3980,1275,247,40.0
3980,1290,176,40.0
3980,1305,54,40.0
3980,1320,40,40.0
3980,1335,41,40.0
3980,1350,37,40.0
3980,1365,32,40.0
3980,1380,60,40.0
3980,1395,28,40.0
3980,1410,40,40.0
3980,1425,33,40.0
9890,0,757,40.0
9890,15,640,40.0
9890,30,561,40.0
9890,45,519,40.0
9890,60,421,40.0
9890,75,303,40.0
9890,90,282,40.0
9890,105,289,40.0
9890,120,222,40.0
9890,135,174,40.0
9890,150,121,40.0
9890,165,117,40.0
9890,180,125,40.0
9890,195,110,40.0
9890,210,95,40.0
9890,225,92,40.0
9890,240,101,40.0
9890,255,105,40.0
9890,270,102,40.0
9890,285,90,40.0
9890,300,80,40.0
9890,315,64,40.0
9890,330,159,40.0
9890,345,147,40.0
9890,360,206,40.0
9890,375,237,40.0
9890,390,377,40.0
9890,405,497,40.0
9890,420,646,40.0
9890,435,618,40.0
9890,450,919,40.0
9890,465,909,40.0
9890,480,1067,40.0
9890,495,1003,40.0
9890,510,1180,40.0
9890,525,1214,40.0
9890,540,1550,40.0
9890,555,1591,40.0
9890,570,1600,40.0
9890,585,1726,40.0
9890,600,1788,40.0
9890,615,1765,40.0
9890,630,1787,40.0
9890,645,1843,40.0
9890,660,2045,40.0
9890,675,2014,40.0
9890,690,1923,40.0
9890,705,2122,40.0
9890,720,2189,40.0
9890,735,2184,40.0
9890,750,2168,40.0
9890,765,2215,40.0
9890,780,2260,40.0
9890,795,2242,40.0
9890,810,2312,40.0
9890,825,2305,40.0
9890,840,2275,40.0
9890,855,2395,40.0
9890,870,2414,40.0
9890,885,2387,40.0
9890,900,2389,40.0
9890,915,2271,40.0
9890,930,2007,40.0
9890,945,1890,40.0
9890,960,2065,40.0
9890,975,2126,40.0
9890,990,2502,40.0
9890,1005,2413,40.0
9890,1020,2403,40.0
9890,1035,2082,40.0
9890,1050,2190,40.0
9890,1065,1798,40.0
9890,1080,1604,40.0
9890,1095,1665,40.0
9890,1110,1792,40.0
9890,1125,1699,40.0
9890,1140,1855,40.0
9890,1155,1969,40.0
9890,1170,2037,40.0
9890,1185,2012,40.0
9890,1200,2106,40.0
9890,1215,2077,40.0
9890,1230,2130,40.0
9890,1245,2321,40.0
9890,1260,2096,40.0
9890,1275,2270,40.0
9890,1290,1912,40.0
9890,1305,1500,40.0
9890,1320,1345,40.0
9890,1335,1242,40.0
9890,1350,1016,40.0
9890,1365,1071,40.0
9890,1380,1038,40.0
9890,1395,944,40.0
9890,1410,912,40.0
9890,1425,924,40.0
